"problem_id","input","output"
"1145","(1,2,3,4,5,6),[1,2]","2"
"1145","(1, 2, 3, 1, 4, 6, 7, 1, 4),[1, 4, 7]","6"
"1145","('a', 'a', 'c', 'b', 'd'),['a', 'b'] ","3"
"1146","[12,15]","([1728, 3375])"
"1146","[10,20,30]","([1000, 8000, 27000])"
"1146","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[1, 8, 27, 64, 125, 216, 343, 512, 729, 1000]"
"1147","11","88"
"1147","10","66"
"1147","9","49"
"1148","1,1,1,1,1,1","'No'"
"1148","1,1,1,4,1,5","'No'"
"1148","1,5,2,5,4,6","'Yes'"
"1149","['Python', 'list', 'exercises', 'practice', 'solution'] ,9","['exercises']"
"1149","['Python', 'list', 'exercises', 'practice', 'solution'] ,6","['Python']"
"1149","['Python', 'list', 'exercises', 'practice', 'solution'] ,8","['practice', 'solution']"
"1150","' iOS    Swift '","'iOSSwift'"
"1150","' Google    Dart '","'GoogleDart'"
"1150","' Google    Flutter '","'GoogleFlutter'"
"1151","2000,5000","3000"
"1151","100,200","100"
"1151","1500,1200",""
"1152","6","8"
"1152","30","48"
"1152","18","26"
"1153","""  lang  .""","('Not matched!')"
"1153","""xyz.""","('Found a match!')"
"1153","""pythonz.""","('Found a match!')"
"1154","6","False"
"1154","5","True"
"1154","2","False"
"1155","['jack','john','mary']","['kcaj','nhoj','yram']"
"1155","['Red', 'Green', 'Blue', 'White', 'Black']","['deR', 'neerG', 'eulB', 'etihW', 'kcalB']"
"1155","['john','amal','joel','george']","['nhoj','lama','leoj','egroeg']"
"1156","[['x'],['x','y'],['x','y','z']]","['x']"
"1156","[[1,1],[1,1,1],[1,2,7,8]]","[1,1]"
"1156","[[1],[1,2],[1,2,3]]","[1]"
"1157","4,2","8"
"1157","10,5","50"
"1157","10,20","200"
"1158","'VoicESeaRchAndreComMendaTionS'","'oiceachndreomendaion'"
"1158","'wAtchTheinTernEtrAdIo'","'wtchheinerntrdo'"
"1158","'cAstyoUrFavoRitETVshoWs'","'cstyoravoitshos'"
"1159","[[9,8,1],[1,2]]","[9,1]"
"1159","[[1,2,3],[4, 5]]","[1,4]"
"1159","[[1, 2], [3, 4, 5], [6, 7, 8, 9]]","[1, 3, 6]"
"1160","'program'","0"
"1160","'BigData'","1"
"1160","'PYthon'","1"
"1161","['red', 'green', 'black', 'orange']","[[], ['red'], ['green'], ['green', 'red'], ['black'], ['black', 'red'], ['black', 'green'], ['black', 'green', 'red'], ['orange'], ['orange', 'red'], ['orange', 'green'], ['orange', 'green', 'red'], ['orange', 'black'], ['orange', 'black', 'red'], ['orange', 'black', 'green'], ['orange', 'black', 'green', 'red']]"
"1161","['red', 'green', 'blue', 'white', 'black', 'orange']","[[], ['red'], ['green'], ['green', 'red'], ['blue'], ['blue', 'red'], ['blue', 'green'], ['blue', 'green', 'red'], ['white'], ['white', 'red'], ['white', 'green'], ['white', 'green', 'red'], ['white', 'blue'], ['white', 'blue', 'red'], ['white', 'blue', 'green'], ['white', 'blue', 'green', 'red'], ['black'], ['black', 'red'], ['black', 'green'], ['black', 'green', 'red'], ['black', 'blue'], ['black', 'blue', 'red'], ['black', 'blue', 'green'], ['black', 'blue', 'green', 'red'], ['black', 'white'], ['black', 'white', 'red'], ['black', 'white', 'green'], ['black', 'white', 'green', 'red'], ['black', 'white', 'blue'], ['black', 'white', 'blue', 'red'], ['black', 'white', 'blue', 'green'], ['black', 'white', 'blue', 'green', 'red'], ['orange'], ['orange', 'red'], ['orange', 'green'], ['orange', 'green', 'red'], ['orange', 'blue'], ['orange', 'blue', 'red'], ['orange', 'blue', 'green'], ['orange', 'blue', 'green', 'red'], ['orange', 'white'], ['orange', 'white', 'red'], ['orange', 'white', 'green'], ['orange', 'white', 'green', 'red'], ['orange', 'white', 'blue'], ['orange', 'white', 'blue', 'red'], ['orange', 'white', 'blue', 'green'], ['orange', 'white', 'blue', 'green', 'red'], ['orange', 'black'], ['orange', 'black', 'red'], ['orange', 'black', 'green'], ['orange', 'black', 'green', 'red'], ['orange', 'black', 'blue'], ['orange', 'black', 'blue', 'red'], ['orange', 'black', 'blue', 'green'], ['orange', 'black', 'blue', 'green', 'red'], ['orange', 'black', 'white'], ['orange', 'black', 'white', 'red'], ['orange', 'black', 'white', 'green'], ['orange', 'black', 'white', 'green', 'red'], ['orange', 'black', 'white', 'blue'], ['orange', 'black', 'white', 'blue', 'red'], ['orange', 'black', 'white', 'blue', 'green'], ['orange', 'black', 'white', 'blue', 'green', 'red']]"
"1161","['orange', 'red', 'green', 'blue']","[[], ['orange'], ['red'], ['red', 'orange'], ['green'], ['green', 'orange'], ['green', 'red'], ['green', 'red', 'orange'], ['blue'], ['blue', 'orange'], ['blue', 'red'], ['blue', 'red', 'orange'], ['blue', 'green'], ['blue', 'green', 'orange'], ['blue', 'green', 'red'], ['blue', 'green', 'red', 'orange']]"
"1162","[-2, -40, 0, -2, -3]","80"
"1162","[6, -3, -10, 0, 2]","180"
"1162","[1, -2, -3, 0, 7, -8, -2]","112"
"1163","{'Cierra Vega': 12, 'Alden Cantrell': 12, 'Kierra Gentry': 12, 'Pierre Cox': 12},5","False"
"1163","{'Cierra Vega': 12, 'Alden Cantrell': 12, 'Kierra Gentry': 12, 'Pierre Cox': 12},12","True"
"1163","{'Cierra Vega': 12, 'Alden Cantrell': 12, 'Kierra Gentry': 12, 'Pierre Cox': 12},10","False"
"1164","{'c1': None, 'c2': 'Green', 'c3':None}","{ 'c2': 'Green'}"
"1164","{'c1': 'Red', 'c2': 'Green', 'c3':None}","{'c1': 'Red', 'c2': 'Green'}"
"1164","{'c1': 'Red', 'c2': None, 'c3':None}","{'c1': 'Red'}"
"1165","[8, 9, 11, 12, 14, 15], 6","5"
"1165","[2, 3, 4, 5, 6], 5","4"
"1165","[1, 3, 20, 4, 1, 0], 6","2"
"1166","33","41"
"1166","2","2"
"1166","10","12"
"1167","[10, 22, 9, 33, 21, 50, 41, 60], 8","21780000"
"1167","[4, 42, 55, 68, 80], 5","50265600"
"1167","[3, 100, 4, 5, 150, 6], 6","45000"
"1168","[10, 6, 8, 4, 2], 2","2"
"1168","[2, 4, 7, 5, 4, 3, 5], 2","7"
"1168","[1, 5, 2, 3, 7, 6, 4, 5], 3","10"
"1169","(3, 7, 9, 10, 12)","(10, 16, 19, 22)"
"1169","(2, 6, 8, 9, 11)","(8, 14, 17, 20)"
"1169","(1, 5, 7, 8, 10)","(6, 12, 15, 18)"
"1170","[1,2,1],3,2","0"
"1170","[1,1,1],3,1","0"
"1170","[ 100, 10, 5, 25, 35, 14 ],6,11","9"
"1171","[1,2,1]","False"
"1171","[1,2,3,5,6]","False"
"1171","[1,2,3,4,5]","True"
"1172","[(2, 1), (3, 2), (1, 3), (1, 4)] , [(11, 2), (2, 3), (6, 2), (1, 3)]","{(1, 3), (2, 3)}"
"1172","[(4, 1), (7, 4), (11, 13), (17, 14)] , [(1, 4), (7, 4), (16, 12), (10, 13)]","{(4, 7), (1, 4)}"
"1172","[(3, 4), (5, 6), (9, 10), (4, 5)] , [(5, 4), (3, 4), (6, 5), (9, 11)]","{(4, 5), (3, 4), (5, 6)}"
"1173","""polygon"",'y','l'","(""pollgon"")"
"1173","""python"",'l','a'","(""python"")"
"1173","""character"",'c','a'","(""aharaater"")"
"1174","{'Math':900, 'Physics':1000, 'Chemistry':1250}","[('Chemistry', 1250), ('Physics', 1000), ('Math', 900)]"
"1174","{'Math':400, 'Physics':300, 'Chemistry':250}","[('Math', 400), ('Physics', 300), ('Chemistry', 250)]"
"1174","{'Math':81, 'Physics':83, 'Chemistry':87}","[('Chemistry', 87), ('Physics', 83), ('Math', 81)]"
"1175","[2,3,6]","8"
"1175","[-1,2,3,4]","3"
"1175","[1,2,3]","4"
"1176","""SenTenCE""","""sentence"""
"1176","""TruE""","""true"""
"1176","""InValid""","""invalid"""
"1177","""STRinG""","('STRG')"
"1177","""FInD""","('FID')"
"1177","""PYTHon""","('PYTH')"
"1178","12","1"
"1178","456","4"
"1178","123","1"
"1179","""brilliant girl""","""i"""
"1179","""create""","""e"""
"1179","""data""","""a"""
"1180","[3, 34, 4, 12, 5, 2], 6, 15","True"
"1180","[3, 34, 4, 12, 5, 2], 6, 30","False"
"1180","[3, 34, 4, 12, 5, 2], 6, 9","True"
"1181","""geeks""","'No'"
"1181","""geeksforGeeks""","'Yes'"
"1181","""Geeks""","'Yes'"
"1182","5","4"
"1182","15","5"
"1182","10","5"
"1183","[('Its', 'been'), ('a', 'long'), ('day', 'without')], [('a', 'long'), ('my', 'friend')]","[('Its', 'been'), ('day', 'without')]"
"1183","[('Part', 'of'), ('the', 'journey'), ('is ', 'end')], [('Journey', 'the'), ('is', 'end')]","[('Part', 'of'), ('the', 'journey'), ('is ', 'end')]"
"1183","[('Hello', 'dude'), ('How', 'are'), ('you', '?')], [('Hello', 'dude'), ('How', 'are')]","[('you', '?')]"
"1184","[1, 3, 7, 9, 45], 5","9"
"1184","[1, 2, 3, 4, 5, 50], 6","5"
"1184","[1, 232, 54545, 999991], 4","54545"
"1185","12, 7, 3.0/5","0.227030335488"
"1185","11, 6, 2.0/4","0.2255859375"
"1185","10, 5, 1.0/3","0.13656454808718185"
"1186","[(3, 9), (6, 7), (4, 3)] ","[(4, 3), (6, 7), (3, 9)]"
"1186","[(2, 4), (3, 3), (1, 1)] ","[(1, 1), (3, 3), (2, 4)]"
"1186","[(1, 3), (3, 2), (2, 1)] ","[(2, 1), (3, 2), (1, 3)]"
"1187","15","387.10741513251753"
"1187","10","172.0477400588967"
"1187","5","43.01193501472417"
"1188","3,[5,6,5]","1"
"1188","4,[2,7,7,7]","3"
"1188","5,[1,2,3,4,4]","2"
"1189","[(6, 7), (2, 3), (7, 6), (9, 8), (10, 2), (8, 9)] ","{(8, 9), (6, 7)}"
"1189","[(7, 8), (3, 4), (8, 7), (10, 9), (11, 3), (9, 10)] ","{(9, 10), (7, 8)}"
"1189","[(8, 9), (4, 5), (9, 8), (11, 10), (12, 4), (10, 11)] ","{(8, 9), (10, 11)}"
"1190","2,6,3","728"
"1190","1,5,4","341"
"1190","1,5,2","31"
"1191","[1,2,3,5,8], 6","False"
"1191","[11, 13, 14, 19, 22, 36], 23","False"
"1191","[7, 8, 9, 10, 13], 10","True"
"1192","9,6,4,3,2","[[(5.0, 2.5358983848622456), (5.0, 4.8452994616207485), (7.0, 6.0), (9.0, 4.8452994616207485), (9.0, 2.5358983848622456), (7.0, 1.3811978464829942), (5.0, 2.5358983848622456)], [(7.0, 6.0), (7.0, 8.309401076758503), (9.0, 9.464101615137753), (11.0, 8.309401076758503), (11.0, 6.0), (9.0, 4.8452994616207485), (7.0, 6.0)]]"
"1192","1,1, 4, 4, 3","[[(-5.0, -4.196152422706632), (-5.0, -0.7320508075688767), (-2.0, 1.0), (1.0, -0.7320508075688767), (1.0, -4.196152422706632), (-2.0, -5.928203230275509), (-5.0, -4.196152422706632)], [(1.0, -4.196152422706632), (1.0, -0.7320508075688767), (4.0, 1.0), (7.0, -0.7320508075688767), (7.0, -4.196152422706632), (4.0, -5.928203230275509), (1.0, -4.196152422706632)], [(7.0, -4.196152422706632), (7.0, -0.7320508075688767), (10.0, 1.0), (13.0, -0.7320508075688767), (13.0, -4.196152422706632), (10.0, -5.928203230275509), (7.0, -4.196152422706632)], [(-2.0, 1.0000000000000004), (-2.0, 4.464101615137755), (1.0, 6.196152422706632), (4.0, 4.464101615137755), (4.0, 1.0000000000000004), (1.0, -0.7320508075688767), (-2.0, 1.0000000000000004)], [(4.0, 1.0000000000000004), (4.0, 4.464101615137755), (7.0, 6.196152422706632), (10.0, 4.464101615137755), (10.0, 1.0000000000000004), (7.0, -0.7320508075688767), (4.0, 1.0000000000000004)], [(-5.0, 6.196152422706632), (-5.0, 9.660254037844387), (-2.0, 11.392304845413264), (1.0, 9.660254037844387), (1.0, 6.196152422706632), (-2.0, 4.464101615137755), (-5.0, 6.196152422706632)], [(1.0, 6.196152422706632), (1.0, 9.660254037844387), (4.0, 11.392304845413264), (7.0, 9.660254037844387), (7.0, 6.196152422706632), (4.0, 4.464101615137755), (1.0, 6.196152422706632)], [(7.0, 6.196152422706632), (7.0, 9.660254037844387), (10.0, 11.392304845413264), (13.0, 9.660254037844387), (13.0, 6.196152422706632), (10.0, 4.464101615137755), (7.0, 6.196152422706632)], [(-2.0, 11.392304845413264), (-2.0, 14.85640646055102), (1.0, 16.588457268119896), (4.0, 14.85640646055102), (4.0, 11.392304845413264), (1.0, 9.660254037844387), (-2.0, 11.392304845413264)], [(4.0, 11.392304845413264), (4.0, 14.85640646055102), (7.0, 16.588457268119896), (10.0, 14.85640646055102), (10.0, 11.392304845413264), (7.0, 9.660254037844387), (4.0, 11.392304845413264)]]"
"1192","5,4,7,9,8","[[(-11.0, -9.856406460551018), (-11.0, -0.6188021535170058), (-3.0, 4.0), (5.0, -0.6188021535170058), (5.0, -9.856406460551018), (-3.0, -14.475208614068023), (-11.0, -9.856406460551018)], [(5.0, -9.856406460551018), (5.0, -0.6188021535170058), (13.0, 4.0), (21.0, -0.6188021535170058), (21.0, -9.856406460551018), (13.0, -14.475208614068023), (5.0, -9.856406460551018)], [(21.0, -9.856406460551018), (21.0, -0.6188021535170058), (29.0, 4.0), (37.0, -0.6188021535170058), (37.0, -9.856406460551018), (29.0, -14.475208614068023), (21.0, -9.856406460551018)], [(-3.0, 4.0), (-3.0, 13.237604307034012), (5.0, 17.856406460551018), (13.0, 13.237604307034012), (13.0, 4.0), (5.0, -0.6188021535170058), (-3.0, 4.0)], [(13.0, 4.0), (13.0, 13.237604307034012), (21.0, 17.856406460551018), (29.0, 13.237604307034012), (29.0, 4.0), (21.0, -0.6188021535170058), (13.0, 4.0)], [(-11.0, 17.856406460551018), (-11.0, 27.09401076758503), (-3.0, 31.712812921102035), (5.0, 27.09401076758503), (5.0, 17.856406460551018), (-3.0, 13.237604307034012), (-11.0, 17.856406460551018)], [(5.0, 17.856406460551018), (5.0, 27.09401076758503), (13.0, 31.712812921102035), (21.0, 27.09401076758503), (21.0, 17.856406460551018), (13.0, 13.237604307034012), (5.0, 17.856406460551018)], [(21.0, 17.856406460551018), (21.0, 27.09401076758503), (29.0, 31.712812921102035), (37.0, 27.09401076758503), (37.0, 17.856406460551018), (29.0, 13.237604307034012), (21.0, 17.856406460551018)], [(-3.0, 31.712812921102035), (-3.0, 40.95041722813605), (5.0, 45.569219381653056), (13.0, 40.95041722813605), (13.0, 31.712812921102035), (5.0, 27.09401076758503), (-3.0, 31.712812921102035)], [(13.0, 31.712812921102035), (13.0, 40.95041722813605), (21.0, 45.569219381653056), (29.0, 40.95041722813605), (29.0, 31.712812921102035), (21.0, 27.09401076758503), (13.0, 31.712812921102035)]]"
"1193","(1, 1, 0, 1, 0, 1)","'53'"
"1193","(1, 1, 0, 1, 0, 0, 1)","'105'"
"1193","(0, 1, 1, 0, 0, 1, 0, 1)","'101'"
"1194","'maNufacTuredbYSheZenTechNolOGIes'","'NTYSZTNOGI'"
"1194","'ProducTnamEstreAmIngMediAplAYer'","'PTEAIMAAY'"
"1194","'KDeoALOklOOHserfLoAJSIskdsf'","'KDALOOOHLAJSI'"
"1195"," [25, 35, 22, 85, 14, 65, 75, 22, 58],5","[14, 22, 22, 25, 35]"
"1195"," [25, 35, 22, 85, 14, 65, 75, 25, 58],2","[14, 22]"
"1195"," [25, 35, 22, 85, 14, 65, 75, 25, 58],3","[14, 22, 25]"
"1196","19,17","2655.923961165254"
"1196","10,15","880.5179353159282"
"1196","5,12","282.7433388230814"
"1197","2,9","1"
"1197","4,6","2"
"1197","12, 17","1"
"1198","40","80"
"1198","15","30"
"1198","10","20"
"1199","[ 'Part', 'of', 'the','journey', 'is', 'end'] ","'  Part of the journey is end'"
"1199","[ 'Hi', 'there', 'How','are', 'you'] ","'  Hi there How are you'"
"1199","['hello','there','have','a','rocky','day'] ","'  hello there have a rocky day'"
"1200","12,24","6"
"1200","2,4","2"
"1200","2,8","2"
"1201","16,5","1"
"1201","10,3","1"
"1201","3,3","0"
"1202","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[3, 5, 7, 9, 11, 13, 15, 17, 19]"
"1202","[4, 5, 8, 9, 6, 10]","[9, 13, 17, 15, 16]"
"1202","[1, 1, 3, 4, 4, 5, 6, 7]","[2, 4, 7, 8, 9, 11, 13]"
"1203","3","36"
"1203","5","225"
"1203","2","9"
"1204","[3, 11, 0, 74, 14, 0, 1, 0, 2]","[3, 11, 74, 14, 1, 2, 0, 0, 0]"
"1204","[6, 0, 8, 2, 3, 0, 4, 0, 1]","[6, 8, 2, 3, 4, 1, 0, 0, 0]"
"1204","[4, 0, 2, 7, 0, 9, 0, 12, 0]","[4, 2, 7, 9, 12, 0, 0, 0, 0]"
"1205","10, 1","10"
"1205","10, 3","720"
"1205","10, 2","90"
"1206","['red', 'green', 'blue', 'white', 'black', 'orange'],['white', 'orange']","['red', 'green', 'blue', 'black']"
"1206","['red', 'green', 'blue', 'white', 'black', 'orange'],['black', 'orange']","['red', 'green', 'blue', 'white']"
"1206","['red', 'green', 'blue', 'white', 'black', 'orange'],['blue', 'white']","['red', 'green', 'black', 'orange']"
"1207","[""red"",""green"",""black"",""orange""],[""red"",""pink"",""green"",""white"",""black""]","True"
"1207","[""red"",""green"",""black"",""orange""],[""red"",""pink"",""green"",""white"",""black""]","True"
"1207","[""red"",""pink"",""green"",""white"",""black""],[""white"",""orange"",""pink"",""black""]","False"
"1208","9","5"
"1208","5","3"
"1208","11","6"
"1209","[1,2,3,4], 10","11"
"1209","[5,6,7,8], 15","4"
"1209","[4,8,7,2], 50","9"
"1210","12","7"
"1210","2","2"
"1210","105","15"
"1211","(6, 7, (6, 7), 8, (9, 10), 10) ","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}"
"1211","(7, 8, (7, 8), 9, (10, 11), 11) ","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}"
"1211","(5, 6, (5, 6), 7, (8, 9), 9) ","{5: 2, 6: 2, 7: 1, 8: 1, 9: 2}"
"1212","(5, 6, 7, 4, 9) , ""FDF""","[5, 'FDF', 6, 'FDF', 7, 'FDF', 4, 'FDF', 9, 'FDF']"
"1212","(11, 14, 12, 1, 4) , ""JH""","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']"
"1212","(7, 8, 9, 10) , ""PF""","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']"
"1213","(1, 2, 3, 4, 5, 6)","21"
"1213","(11, 12 ,13 ,45, 14)","95"
"1213","(7, 8, 9, 1, 10, 7)","42"
"1214","[3, 1, 7, 5], 4, 6","True"
"1214","[1, 6], 2, 5","False"
"1214","[1, 7], 2, 5","False"
"1215","[15, 79, 25, 68, 37]","[15, 25, 37, 68, 79]"
"1215","[36, 12, 24, 26, 29]","[12, 24, 26, 29, 36]"
"1215","[9, 11, 8, 7, 3, 2]","[2, 3, 7, 8, 9, 11]"
"1216","[0,0,1,0]","1"
"1216","[1,2,3,4,-1]","4"
"1216","[0,1,2,-5,-1,6]","6"
"1217","400","20"
"1217","4","2"
"1217","16","4"
"1218","10","117.85"
"1218","20","942.81"
"1218","15","397.75"
"1219","[2, 7, 3, 9, 4]","252"
"1219","[3, 8, 4, 10, 5]","120"
"1219","[1, 2, 8, 3]","24"
"1220","6,15,20","True"
"1220","6,8,12","True"
"1220","6,6,12","False"
"1221","[1, 11, 2, 10, 4, 5, 2, 1]","6"
"1221","[80, 60, 30, 40, 20, 10]","5"
"1221","[0 , 8 , 4, 12, 2, 10 , 6 , 14 , 1 , 9 , 5 , 13, 3, 11 , 7 , 15]","7"
"1222","'123Python'","['Valid string.']"
"1222","'python'","['String must have 1 upper case character.', 'String must have 1 number.', 'String length should be atleast 8.']"
"1222","'123python'","['String must have 1 upper case character.']"
"1223","[3, 4, 5, 10], 4","22"
"1223","[10, 5, 4, 3], 4","10"
"1223","[1, 101, 2, 3, 100, 4, 5], 7","106"
"1224","[2,3,4], [2,3,8]","True"
"1224","[3,3],[5,5]","True"
"1224","[2,3,4], [4,-3,8]","False"
"1225","""bigdata""","""BigdatA"""
"1225","""python""","""PythoN"""
"1225","""Hadoop""","""HadooP"""
"1226","[1, 5, 7, -1], 4, 6","2"
"1226","[1, 1, 1, 1], 4, 2","6"
"1226","[1, 5, 7, -1, 5], 5, 6","3"
"1227","[[5], [15,20,25]]","(1, [5])"
"1227","[[0], [1, 3], [5, 7], [9, 11], [13, 15, 17]]","(1, [0])"
"1227","[[1], [5, 7], [10, 12, 14,15]]","(1, [1])"
"1228","4","17"
"1228","5","31"
"1228","2","5"
"1229","[2, 4, -6, -9, 11, -12, 14, -5, 17]","0.44"
"1229","[0, 1, 2, -1, -5, 6, 0, -3, -2, 3, 4, 6, 8]","0.31"
"1229","[2, 1, 2, -1, -5, 6, 4, -3, -2, 3, 4, 6, 8]","0.31"
"1230","[1, 2, 3],3,4","2"
"1230","[9, 6, 5, 1] ,4,11","2"
"1230","[4,5,6,7,8,9],6,9","1"
"1231","""xxyz"", ""yxzx""","True"
"1231","""abc"", ""cba""","True"
"1231","""test"", ""ttew""","False"
"1232","(7, 1.1, 2, 2.2), float","[7, 2]"
"1232","(4, 5, 4, 7.7, 1.2), int","[7.7, 1.2]"
"1232","(7, 8, 9, ""SR""), str","[7, 8, 9]"
"1233","'python','python programming language'","(0,6)"
"1233","'language','python programming language'","(19,27)"
"1233","'programming','python programming language'","(7,18)"
"1234","10","314.15000000000003"
"1234","4","50.264"
"1234","5","78.53750000000001"
"1235","[14,16,19,15,17],4","[14,17]"
"1235","[1, 2, 3, 4, 5, 6, 7, 8, 9],2","[1, 3, 5, 7, 9]"
"1235","[10,15,19,17,16,18],3","[10,17]"
"1236","""ab ca bc ca ab bc""","""ca"""
"1236","""ab ca bc ab""","""ab"""
"1236","""ab ca bc""","'None'"
"1237","(""python 3.0"")","('p', 'y', 't', 'h', 'o', 'n', '3', '.', '0')"
"1237","(""language"")","('l', 'a', 'n', 'g', 'u', 'a', 'g','e')"
"1237","(""bigdata"")","('b', 'i', 'g', 'd', 'a', 't', 'a')"
"1238","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100],[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[10, 400, 27000, 2560000, 312500000, 46656000000, 8235430000000, 1677721600000000, 387420489000000000, 100000000000000000000]"
"1238","[4, 8, 12, 16, 20, 24, 28],[3, 6, 9, 12, 15, 18, 21]","[64, 262144, 5159780352, 281474976710656, 32768000000000000000, 6979147079584381377970176, 2456510688823056210273111113728]"
"1238","[1, 2, 3, 4, 5, 6, 7],[10, 20, 30, 40, 50, 60, 70]","[1, 1048576, 205891132094649, 1208925819614629174706176, 88817841970012523233890533447265625, 48873677980689257489322752273774603865660850176, 143503601609868434285603076356671071740077383739246066639249]"
"1239","[1,2,1,2],4","0"
"1239","[1,1,2,2,7,8,4,5,1,4],10","2"
"1239","[1,7,9,2,3,3,1,3,3],9","3"
"1240","15","False"
"1240","18","True"
"1240","12","True"
"1241","'Probass Curve Audio'","'Probass:Curve:Audio'"
"1241","'Stereo Sound Sweatproof'","'Stereo:Sound:Sweatproof'"
"1241","'Boult Curve Wireless Neckband'","'Boult:Curve:Wireless:Neckband'"
"1242","1234567,500","(7)"
"1242","98759853034,100","(11)"
"1242","9875,10","(4)"
"1243","[('2', '3', '4'), ('6', '9'), ('3', '2'), ('2', '11')]","'2 3 4 6 9 3 2 2 11'"
"1243","[('14', '21', '9'), ('24', '19'), ('12', '29'), ('23', '17')]","'14 21 9 24 19 12 29 23 17'"
"1243","[('1', '4', '6'), ('5', '8'), ('2', '9'), ('1', '10')]","'1 4 6 5 8 2 9 1 10'"
"1244","10","3"
"1244","20","5"
"1244","15","6"
"1245","""hello world"",'l'","10"
"1245","""language"",'g'","7"
"1245","""little"",'y'",""
"1246","4","7"
"1246","5","8"
"1246","2","3"
"1247","[10, 22, 9, 33, 21, 50, 41, 60]","5"
"1247","[50, 3, 10, 7, 40, 80]","4"
"1247","[3, 10, 2, 1, 20]","3"
"1248","2","244"
"1248","3","3369"
"1248","1","1"
"1249","[2,3,5,6,9],0,4","9"
"1249","[1,2,3],0,2","3"
"1249","[3,4,5,2,1],0,4","5"
"1250","[[1, 2, 3], [2, 4, 5], [1, 1, 1]],0","[1, 2, 1]"
"1250","[[1, 3], [5, 7], [1, 3], [13, 15, 17], [5, 7], [9, 11]],0","[1, 5, 1, 13, 5, 9]"
"1250","[[1, 2, 3], [-2, 4, -5], [1, -1, 1]],2","[3, -5, 1]"
"1251","[1,5,2]","""Non Linear Sequence"""
"1251","[0,2,4,6,8,10]","""Linear Sequence"""
"1251","[1,2,3]","""Linear Sequence"""
"1252","(8, 123)","8.123"
"1252","(4, 56)","4.56"
"1252","(7, 256)","7.256"
"1253","[1,2,3,4,5,6]","[1,3,5]"
"1253","[7,8,9,1]","[7,9,1]"
"1253","[10,11,12,13]","[11,13]"
"1254","2","6"
"1254","3","30"
"1254","5","210"
"1255","[1,2,3],3","2"
"1255","[5,4,7,2,1],5","6"
"1255","[7,2,8,1,0,5,11],7","12"
"1256","""Python""","(""pYTHON"")"
"1256","""LIttLE""","(""liTTle"")"
"1256","""Pangram""","(""pANGRAM"")"
"1257","1,2","1"
"1257","123,256","7"
"1257","23,56","6"
"1258","[-4, -5, 6, -3, -4, 3, 7, -5], 8","10"
"1258","[-2, -3, 4, -1, -2, 1, 5, -3], 8","7"
"1258","[-3, -4, 5, -2, -3, 2, 6, -4], 8","8"
"1259","(3, 4, 5, 6),(5, 7, 4, 10) ","(3, 4, 5, 6, 7, 10)"
"1259","(11, 12, 13, 14),(13, 15, 16, 17) ","(11, 12, 13, 14, 15, 16, 17)"
"1259","(1, 2, 3, 4),(3, 4, 5, 6) ","(1, 2, 3, 4, 5, 6)"
"1260","[(5, 3), (7, 5), (2, 7), (3, 8), (8, 4)] ","{3: [8], 5: [3], 7: [5], 2: [7], 8: [4], 4: []}"
"1260","[(6, 4), (9, 4), (3, 8), (4, 9), (9, 5)] ","{4: [9], 6: [4], 9: [4, 5], 8: [], 3: [8], 5: []}"
"1260","[(6, 2), (6, 8), (4, 9), (4, 9), (3, 7)] ","{2: [], 6: [2, 8], 8: [], 9: [], 4: [9, 9], 7: [], 3: [7]}"
"1261","[[0,1],[2,2,],[3,2,1]]","3"
"1261","[[7],[22,23],[13,14,15],[10,20,30,40,50]]","5"
"1261","[[1],[1,4],[5,6,7,8]]","4"
"1262","'""red"",""blue"",""green"",""yellow""'","['red','blue','green','yellow']"
"1262","'""Python"", ""PHP"", ""Java""'","['Python', 'PHP', 'Java']"
"1262","'""python"",""program"",""language""'","['python','program','language']"
"1263","[1,2,3,4,5],5","10"
"1263","[1,2,1],3","2"
"1263","[1,1,1,1],4","0"
"1264","'program'","['p','r','o','g','r','a','m']"
"1264","'python'","['p','y','t','h','o','n']"
"1264","'Name'","['N','a','m','e']"
"1265","97","16"
"1265","345","12"
"1265","12","3"
"1266","[1, 2, 4, 6, 8, 10,15,14,20]","False"
"1266","[1,2,4,6,8,10,12,14,16,17]","True"
"1266","[1, 2, 4, 6, 8, 10, 12, 14, 20, 17]","False"
"1267","7","[{},{},{},{},{},{},{}]"
"1267","5","[{},{},{},{},{}]"
"1267","6","[{},{},{},{},{},{}]"
"1268","[['green', 'orange'], ['black', 'white'], ['white', 'black', 'orange']]","[['green', 'orange'], ['black', 'white'], ['black', 'orange', 'white']]"
"1268","[['a','b'],['d','c'],['g','h'] , ['f','e']]","[['a', 'b'], ['c', 'd'], ['g', 'h'], ['e', 'f']]"
"1268","[['green', 'orange'], ['black'], ['green', 'orange'], ['white']]","[['green', 'orange'], ['black'], ['green', 'orange'], ['white']]"
