id,problem_id,input,output
2277,196,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2278,196,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2279,196,"[[-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1], [-1, -1, -1, -1, -1]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2280,196,"[[5, 5, 5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5, 5, 5, 5]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2281,196,"[[1, 2, 3, 4, 5, 6, 7, 8, 9], [10, 11, 12, 13, 14, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24, 25, 26, 27], [28, 29, 30, 31, 32, 33, 34, 35, 36], [37, 38, 39, 40, 41, 42, 43, 44, 45], [46, 47, 48, 49, 50, 51, 52, 53, 54], [55, 56, 57, 58, 59, 60, 61, 62, 63], [64, 65, 66, 67, 68, 69, 70, 71, 72], [73, 74, 75, 76, 77, 78, 79, 80, 81]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2282,196,"[[81, 80, 79, 78, 77, 76, 75, 74, 73], [72, 71, 70, 69, 68, 67, 66, 65, 64], [63, 62, 61, 60, 59, 58, 57, 56, 55], [54, 53, 52, 51, 50, 49, 48, 47, 46], [45, 44, 43, 42, 41, 40, 39, 38, 37], [36, 35, 34, 33, 32, 31, 30, 29, 28], [27, 26, 25, 24, 23, 22, 21, 20, 19], [18, 17, 16, 15, 14, 13, 12, 11, 10], [9, 8, 7, 6, 5, 4, 3, 2, 1]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2283,196,"[[68, 2, 25, 60, 65, 51, 23, 69], [57, 79, 29, 65, 7, 26, 75, 18], [37, 1, 80, 36, 53, 82, 9, 79], [67, 52, 59, 19, 80, 69, 46, 68], [100, 15, 93, 84, 54, 86, 76, 74], [19, 12, 33, 93, 34, 7, 59, 70], [78, 28, 14, 21, 56, 18, 68, 12], [78, 14, 24, 11, 53, 13, 2, 33]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2284,196,"[[98, 70, 23, 95, 35, 43], [45, 41, 21, 66, 40, 42], [63, 98, 71, 91, 30, 39], [80, 31, 22, 12, 2, 90], [13, 97, 63, 40, 59, 53], [8, 54, 64, 99, 55, 16]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2285,196,"[[30, 17, 51, 38, 75, 34, 1, 20, 37, 21, 89, 35, 42, 27], [56, 95, 25, 22, 87, 52, 84, 50, 20, 79, 51, 93, 88, 13], [15, 83, 96, 31, 87, 42, 14, 29, 96, 86, 71, 29, 35, 70], [96, 59, 35, 32, 76, 28, 25, 5, 16, 79, 12, 90, 66, 11], [1, 63, 12, 77, 99, 5, 13, 4, 47, 66, 2, 66, 9, 60], [72, 29, 29, 70, 38, 92, 76, 30, 16, 86, 69, 52, 21, 80], [100, 29, 19, 35, 81, 69, 21, 16, 73, 58, 62, 96, 32, 37], [13, 68, 67, 86, 83, 47, 73, 3, 51, 38, 16, 31, 50, 10], [88, 20, 84, 58, 79, 46, 68, 47, 7, 3, 9, 5, 90, 17], [39, 84, 23, 44, 61, 72, 35, 2, 72, 69, 12, 25, 68, 38], [64, 14, 70, 23, 20, 99, 12, 68, 65, 43, 28, 4, 67, 49], [76, 61, 100, 60, 54, 19, 92, 21, 76, 69, 93, 54, 57, 65], [42, 82, 28, 3, 22, 17, 13, 46, 70, 75, 92, 59, 29, 47], [6, 58, 48, 43, 10, 68, 81, 58, 3, 95, 30, 54, 60, 27]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2286,196,"[[45, 19, 70], [85, 90, 77], [47, 51, 88]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2287,196,"[[76, 100, 80, 58, 51, 26, 43, 98, 34, 36], [68, 45, 28, 99, 46, 76, 38, 58, 48, 69], [47, 84, 13, 53, 42, 48, 80, 34, 4, 92], [49, 69, 6, 26, 65, 83, 42, 38, 100, 39], [88, 27, 27, 62, 63, 72, 42, 27, 3, 38], [61, 69, 24, 56, 33, 2, 13, 51, 22, 80], [79, 36, 53, 77, 73, 30, 21, 2, 79, 58], [5, 37, 86, 51, 32, 26, 3, 86, 34, 57], [3, 57, 31, 79, 85, 90, 43, 67, 98, 1], [62, 26, 60, 16, 96, 36, 81, 9, 81, 78]]","[[7, 4, 6, 9, 1, 8, 5, 2, 3], [9, 6, 5, 8, 1, 4, 3, 2, 7]]"
2288,197,[3],1
2289,197,[],0
2290,197,"[216, 158, 312, 470, 295, 40, 493, 860, 878, 155, 124, 464, 622, 164, 130, 932, 285, 130, 388, 733, 915, 210, 677, 331, 981, 505, 578, 47, 586, 525, 948, 502, 45, 958, 675, 803, 755, 928, 125, 532, 116, 687, 762, 478, 31, 303, 892, 714, 211, 406, 853, 423, 842, 222, 466, 345, 36, 817, 771, 289, 51, 22, 578, 651, 781, 873, 76, 719, 291, 308, 305, 537, 734, 979, 815, 88, 112, 773, 340, 673, 554, 349, 735, 123, 99, 576, 300, 371, 800, 607, 421, 905, 657, 89, 155, 488, 330, 320, 395, 983]",50
2291,197,"[0, 0, 0]",5
2292,197,"[1, 1, 1]",5
2293,197,"[-1, -1, -1]",5
2294,197,"[5, 5, 5]",5
2295,197,"[1, 2, 3, 4, 5]",5
2296,197,"[5, 4, 3, 2, 1]",5
2297,197,"[637, 316, 900, 525, 737, 828, 806, 760, 283, 523, 182, 440, 459, 524, 716, 486, 212, 178, 819, 371, 723, 393, 902, 950, 682, 701, 786]",5
2298,197,"[150, 17, 903, 732, 822, 273, 986, 591, 170, 172, 619, 130, 129, 262, 86, 867, 499, 701, 758, 967, 706, 696, 366, 468, 999, 239, 431, 867, 108, 218, 759, 497, 574, 504, 764, 34, 813]",5
2299,197,"[353, 522, 972, 8, 983, 270, 66, 450, 496, 420, 392, 415, 381, 195, 693, 625, 649, 299, 522, 404, 503, 470, 930, 675, 946, 215, 104, 675, 420, 187, 351, 244]",5
2300,197,"[16, 968, 837, 843, 940, 784, 946, 434, 385, 367]",5
2301,197,"[528, 7, 255, 53, 783, 113, 682, 304, 383, 229, 947, 500, 63]",5
2302,197,"[0, 4, 2, 2, 4]",5
2303,197,"[1, 2, 2, 1]",5
2304,198,"[[""100""]]",1
2305,198,[[]],0
